Submitted Date and Time,Institution,Category,Program,Batch,Instructor,How would you rate the overall content of the session?,Were the topics covered relevant to your needs and expectations?,Rate the clarity and depth of the information provided.,How knowledgeable was the instructor about the subject matter?,How engaging was the instructor in delivering the content?,Rate the instructor's ability to answer questions and provide explanations.,How would you rate the overall organization and flow of the session?,Rate the activities/exercises conducted during the session to understand the concepts?,Rate the overall interaction and engagement opportunities during the session.,What did you like most about the session?,What areas do you think need improvement
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,To understand the network capability on the growth and sustainable.,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,good interactive session,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,4,5,,5,,,,,,,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,3,3,,2,,,,,,nothing,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,4,4,,4,,,,,,,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,Subject knowledge,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,3,3,,3,,,,,,need more information about the topic,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,4,4,,3,,,,,,Entire session,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,4,4,,4,,,,,,,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,how to do network analysis,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,4,4,,5,,,,,,,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,"Netwrok buiding, Diversity of network, emotional connection with network, peer level of connection, egocentric networks.",
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,"How are decisions change as per out network, cross functional connections with other hierarchy",
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,5,5,,5,,,,,,absolutely new learning,
2026-06-21T00:00:00,XLRI,HR,DHRL,Batch 7,Santosh,4,3,,3,,,,,,,
Average,,,,,,4.5,4.5,,4.45,,,,,,4.48,
