Submitted Date and Time,Institution,Category,Program,Batch,Instructor,How would you rate the overall content of the session?,Were the topics covered relevant to your needs and expectations?,Rate the clarity and depth of the information provided.,How knowledgeable was the instructor about the subject matter?,How engaging was the instructor in delivering the content?,Rate the instructor's ability to answer questions and provide explanations.,How would you rate the overall organization and flow of the session?,Rate the activities/exercises conducted during the session to understand the concepts?,Rate the overall interaction and engagement opportunities during the session.,What did you like most about the session?,What areas do you think need improvement
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,5,5,5,5,4,4,3,5,very much engaging session,
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,Industry Level Examples,Please discuss more changelenges.
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,4,5,5,5,5,4,,
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,4,5,5,5,5,5,5,5,Very engaging,Woudl be great to get the content (slided) before the sesisons so that note coul be made on the slides
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,Realisic example,all best
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,Very good,Na
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,5,4,4,5,5,4,4,4,.,.
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,4,5,5,5,Prof's experience in artictulating the situation,"1. QnA sessions could have been a better moderated. Some of the questions asked , in my opinion were bit out of the topic, may be students were trying to discuss personal problems."
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,4,5,5,4,4,4,4,4,the question and answer sessions,NA
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,5,4,5,3,4,5,5,3,Detailed discussion and examples,Be stick to the topic and question
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,whole session,nothing
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,"love energic session and good connection, very informative session a lot of learning meaning",no
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,all good,nothing as such
