Submitted Date and Time,Institution,Category,Program,Batch,Instructor,How would you rate the overall content of the session?,Were the topics covered relevant to your needs and expectations?,Rate the clarity and depth of the information provided.,How knowledgeable was the instructor about the subject matter?,How engaging was the instructor in delivering the content?,Rate the instructor's ability to answer questions and provide explanations.,How would you rate the overall organization and flow of the session?,Rate the activities/exercises conducted during the session to understand the concepts?,Rate the overall interaction and engagement opportunities during the session.,What did you like most about the session?,What areas do you think need improvement
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,Industry Level Examples,Please discuss more changelenges.
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,4,5,5,5,5,4,,
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,4,5,5,5,5,5,5,5,Very engaging,Woudl be great to get the content (slided) before the sesisons so that note coul be made on the slides
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,Realisic example,all best
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,5,4,4,5,5,4,4,4,.,.
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,4,5,5,5,Prof's experience in artictulating the situation,"1. QnA sessions could have been a better moderated. Some of the questions asked , in my opinion were bit out of the topic, may be students were trying to discuss personal problems."
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,5,4,5,3,4,5,5,3,Detailed discussion and examples,Be stick to the topic and question
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,Very good,Na
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,4,5,5,4,4,4,4,4,the question and answer sessions,NA
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,whole session,nothing
2026-05-17T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,5,5,5,5,4,4,3,5,very much engaging session,
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,Good energy of professor,no suggestion
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,whole session was very good,nothing
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,Always energy,Not required
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,"love energic session and good connection, very informative session a lot of learning meaning",no
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,Very Intercative,As of now nothing
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,5,4,4,4,5,5,4,4,Energy And Knowledge,No
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,all good,nothing as such
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-24T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,examples,all good
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,The whole session was very good,nothing as of now
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,,
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,4,5,5,4,4,5,4,5,NA,NA
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,4,4,4,5,5,4,4,4,Knowledge and Engagement,Nothing
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,4,5,5,5,5,3,4,4,,
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,4,5,5,5,5,5,,
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,Very Informative insigts,NA
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,very interactive,na
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,5,5,5,5,5,5,5,5,5,.,.
2026-05-31T00:00:00,IIM Visakhapatnam,SM,GSLP,Batch 3,Prof. Praveen Kamath,4,4,4,4,4,5,4,4,4,Precise explanation,NA
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,AM/LM pipeline,NA
2026-06-07T00:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,Scrum framework,NA
2026-06-07T00:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,NA,NA
2026-06-07T00:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,4,4,5,5,4,4,3,5,interesting familiar concepts,Not many except for inclusion of some more activities / engagement
2026-06-07T00:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,Design thinking + Lean Startup + Agile (Kanban) framework was good,More participation from other cohort members
2026-06-07T00:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,4,5,4,4,5,4,4,5,4,Good explanation,No points found for improvement
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,NA,NA
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,interactive with examples,nothing
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,Practicals by Anushree B,None
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,4,4,4,5,How to build the agentc RAG system,a document needs to be published with step by step instructions
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,3,3,4,4,3,3,3,3,3,Explanation of how the RAG system works.,NA
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,4,4,3,4,3,4,4,4,4,.,.
