Submitted Date and Time,Institution,Category,Program,Batch,Instructor,How would you rate the overall content of the session?,Were the topics covered relevant to your needs and expectations?,Rate the clarity and depth of the information provided.,How knowledgeable was the instructor about the subject matter?,How engaging was the instructor in delivering the content?,Rate the instructor's ability to answer questions and provide explanations.,How would you rate the overall organization and flow of the session?,Rate the activities/exercises conducted during the session to understand the concepts?,Rate the overall interaction and engagement opportunities during the session.,What did you like most about the session?,What areas do you think need improvement
2026-06-21T18:02:33,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,5,4,4,5,5,5,4,5,4,,
2026-06-21T18:02:43,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,5,5,5,5,5,5,5,5,5,,
2026-06-21T18:02:58,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,5,5,5,5,5,5,5,5,5,,good
2026-06-21T18:03:07,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,5,5,5,5,5,5,5,4,5,good Excel document,more content
2026-06-21T18:03:17,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,5,5,5,5,5,5,5,5,5,Well about the MSP,Keep on updates
2026-06-21T18:03:21,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,5,5,5,5,5,5,5,5,5,Scheduling in MSP explained clearly.,
2026-06-21T18:03:29,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,5,5,5,5,5,5,5,5,5,More practical,na
2026-06-21T18:03:36,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,4,4,5,5,5,5,4,4,4,,Would have help to show exercise on Finance & Supply Chain Background.
2026-06-21T18:03:51,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,5,4,5,5,5,4,5,5,5,,
2026-06-21T18:04:03,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,5,5,5,5,5,5,3,5,5,knowledge and way of explaining by professor,Accredian team should inform in advance that we need to be ready with MSP software or give instruction manual to how to setup.
2026-06-21T18:04:50,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,5,5,5,5,5,5,5,5,5,,
2026-06-21T18:05:26,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,3,3,4,4,3,4,3,3,3,Ability to try on class but this was counter productive as there was no access to the software.,"Accredian can do a better job in communicating about the pre requisites, need to download or access tools and software needed for the course."
2026-06-21T18:08:46,IIM Visakhapatnam,PMT,Project Management Program,Jan 2026,Prof. Ravindra Nadh Chowdary,4,4,4,4,4,4,4,4,4,,
Average,,,,,,4.69,4.54,4.77,4.85,4.77,4.77,4.46,4.62,4.62,4.68,
