Submitted Date and Time,Institution,Category,Program,Batch,Instructor,How would you rate the overall content of the session?,Were the topics covered relevant to your needs and expectations?,Rate the clarity and depth of the information provided.,How knowledgeable was the instructor about the subject matter?,How engaging was the instructor in delivering the content?,Rate the instructor's ability to answer questions and provide explanations.,How would you rate the overall organization and flow of the session?,Rate the activities/exercises conducted during the session to understand the concepts?,Rate the overall interaction and engagement opportunities during the session.,What did you like most about the session?,What areas do you think need improvement,Allotted To,Feedback
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,3,3,3,4,3,4,4,4,4,should cover maximum subject matters during online hours,should cover maximum subject matters during online hours,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,Team Participation and Case Studies,NA,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,4,4,4,4,4,4,3,3,new thing and something to learn more,i need data aalysis and understanding model,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,4,4,4,4,4,4,4,4,Lab work give the  clear picture AI /ML pipeline,This session does not required no improvement,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,5,4,5,5,5,5,5,5,"Hands on  problems  , discussion.","more home works, every one should get equal chance for presentation.",,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,na,na,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,4,4,4,4,4,4,4,4,.,.,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,4,3,4,4,4,3,4,4,The AI ML Pipeline real life case studies,I guess we still need some clarity on decision making as to which model / algorithms,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,break out sesssion is good,more detailed step by steps lab and exercise,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,breakout room hands on experience,all good,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,3,4,4,3,3,4,4,5,Breakout room and interactions,"PPTs/ PDF docs which are being shared over chats, not able to receive the same. Request to reshare all PDFs PPTs shared till date",,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,4,4,5,5,5,4,4,4,Break-out room excises.,need more lab session,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,4,4,4,4,4,4,4,4,3,The Exercise,"Being from a Non-technical background, expect the explanation to be done considering the larger audience.",,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,Benefitting from the hands on session reg AI Pipeline and interpretation of thw whole pipeline from the case study example.,Nothing as of now.,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 3A,Rishi Raj,5,5,5,5,5,5,5,5,5,Good Session,Good Session-No improvement required for now,,
