Submitted Date and Time,Institution,Category,Program,Batch,Instructor,How would you rate the overall content of the session?,Were the topics covered relevant to your needs and expectations?,Rate the clarity and depth of the information provided.,How knowledgeable was the instructor about the subject matter?,How engaging was the instructor in delivering the content?,Rate the instructor's ability to answer questions and provide explanations.,How would you rate the overall organization and flow of the session?,Rate the activities/exercises conducted during the session to understand the concepts?,Rate the overall interaction and engagement opportunities during the session.,What did you like most about the session?,What areas do you think need improvement
2026-06-07T00:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,Scrum framework,NA
2026-06-07T00:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,4,5,4,4,5,4,4,5,4,Good explanation,No points found for improvement
2026-06-07T00:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,Design thinking + Lean Startup + Agile (Kanban) framework was good,More participation from other cohort members
2026-06-07T00:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,4,4,5,5,4,4,3,5,interesting familiar concepts,Not many except for inclusion of some more activities / engagement
2026-06-07T00:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,NA,NA
2026-06-14T18:00:00,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,everything,none
2026-06-14T18:00:07,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,Na,Na
2026-06-14T18:00:10,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,NA,NA
2026-06-14T18:00:32,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,4,4,4,5,3,Skip,Skip
2026-06-14T18:01:48,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,4,5,4,4,5,4,5,4,quite helpful and related to most of the aspects of current job,none
2026-06-14T18:02:22,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,4,4,4,4,4,4,4,4,4,NA,NA
2026-06-14T18:03:54,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,sharing examples,-
2026-06-14T18:05:09,E&ICT Academy IIT Guwahati,DT,DT,Feb 2026,Anshu Sharma,5,5,5,5,5,5,5,5,5,Change management strategies,NA
Average,,,,,,4.85,4.77,4.77,4.77,4.77,4.69,4.62,4.77,4.62,4.74,
